target_region,budget_retrains,budget_fraction,policy,mean_mae
CNA,6,0.2,mean_shift,2.282893715692256
CNA,6,0.2,kl_source_target,2.2806008456640594
CNA,6,0.2,oracle,2.2611347093701912
CNA,6,0.2,random_expected,2.2827304346757398
CNA,7,0.23333333333333334,action_value,2.2684037776071375
CNA,7,0.23333333333333334,mmd,2.2761131849054883
CNA,7,0.23333333333333334,wasserstein,2.280431953258529
CNA,7,0.23333333333333334,distance,2.2809974738315906
CNA,7,0.23333333333333334,mean_shift,2.282325966277442
CNA,7,0.23333333333333334,kl_source_target,2.2750009972346974
CNA,7,0.23333333333333334,oracle,2.256302139612094
CNA,7,0.23333333333333334,random_expected,2.280802680208622
CNA,8,0.26666666666666666,action_value,2.2683085293847864
CNA,8,0.26666666666666666,mmd,2.2748065791037533
CNA,8,0.26666666666666666,wasserstein,2.2796436169557563
CNA,8,0.26666666666666666,distance,2.2800817570094836
CNA,8,0.26666666666666666,mean_shift,2.282336726902646
CNA,8,0.26666666666666666,kl_source_target,2.274212660931924
CNA,8,0.26666666666666666,oracle,2.2515975688418304
CNA,8,0.26666666666666666,random_expected,2.278874925741504
CNA,9,0.3,action_value,2.2636039586145227
CNA,9,0.3,mmd,2.274326125930434
CNA,9,0.3,wasserstein,2.2740437685263943
CNA,9,0.3,distance,2.27450413713898
CNA,9,0.3,mean_shift,2.2821521988697073
CNA,9,0.3,kl_source_target,2.274108948850015
CNA,9,0.3,oracle,2.24752057935005
CNA,9,0.3,random_expected,2.276947171274386
CNA,10,0.3333333333333333,action_value,2.2580909263370974
CNA,10,0.3333333333333333,mmd,2.274045475473687
CNA,10,0.3333333333333333,wasserstein,2.2699667790346134
CNA,10,0.3333333333333333,distance,2.26888612121389
CNA,10,0.3333333333333333,mean_shift,2.2774476280994436
CNA,10,0.3333333333333333,kl_source_target,2.269276379091918
CNA,10,0.3333333333333333,oracle,2.246213973548315
CNA,10,0.3333333333333333,random_expected,2.275019416807268
CNA,11,0.36666666666666664,action_value,2.257921728618795
CNA,11,0.36666666666666664,mmd,2.2684678556031836
CNA,11,0.36666666666666664,wasserstein,2.2693750357201474
CNA,11,0.36666666666666664,distance,2.267765379519042
CNA,11,0.36666666666666664,mean_shift,2.2761410222977085
CNA,11,0.36666666666666664,kl_source_target,2.268736814005553
CNA,11,0.36666666666666664,oracle,2.2450932318534664
CNA,11,0.36666666666666664,random_expected,2.2730916623401503
CNA,12,0.4,action_value,2.257014676724395
CNA,12,0.4,mmd,2.267552138781076
CNA,12,0.4,wasserstein,2.2694145098895606
CNA,12,0.4,distance,2.2675168281503284
CNA,12,0.4,mean_shift,2.275660569124389
CNA,12,0.4,kl_source_target,2.2678956047358216
CNA,12,0.4,oracle,2.243998244785827
CNA,12,0.4,random_expected,2.2711639078730324
CNA,13,0.43333333333333335,action_value,2.2567340262676487
CNA,13,0.43333333333333335,mmd,2.266710929511345
CNA,13,0.43333333333333335,wasserstein,2.2694252705147644
CNA,13,0.43333333333333335,distance,2.267413116068419
CNA,13,0.43333333333333335,mean_shift,2.2755597816437168
CNA,13,0.43333333333333335,kl_source_target,2.2674151515625023
CNA,13,0.43333333333333335,oracle,2.2430825279637197
CNA,13,0.43333333333333335,random_expected,2.2692361534059144
CNA,14,0.4666666666666667,action_value,2.2559643747917235
CNA,14,0.4666666666666667,mmd,2.26617136442498
CNA,14,0.4666666666666667,wasserstein,2.2688575210999504
CNA,14,0.4666666666666667,distance,2.2666247797656465
CNA,14,0.4666666666666667,mean_shift,2.2744647945760774
CNA,14,0.4666666666666667,kl_source_target,2.2661085457607673
CNA,14,0.4666666666666667,oracle,2.24217547606932
CNA,14,0.4666666666666667,random_expected,2.2673083989387965
CNA,15,0.5,action_value,2.255048657969616
CNA,15,0.5,mmd,2.261338794666883
CNA,15,0.5,wasserstein,2.2686729930670118
CNA,15,0.5,distance,2.2610249313362845
CNA,15,0.5,mean_shift,2.2689517622986526
CNA,15,0.5,kl_source_target,2.2614039749905035
CNA,15,0.5,oracle,2.241334266799589
CNA,15,0.5,random_expected,2.2653806444716786
CNA,16,0.5333333333333333,action_value,2.2548641299366774
CNA,16,0.5333333333333333,mmd,2.260771045252069
CNA,16,0.5333333333333333,wasserstein,2.263840423308914
CNA,16,0.5333333333333333,distance,2.2555423769005545
CNA,16,0.5333333333333333,mean_shift,2.2688565140763015
CNA,16,0.5333333333333333,kl_source_target,2.260488258168396
CNA,16,0.5333333333333333,oracle,2.240545930496815
CNA,16,0.5333333333333333,random_expected,2.2634528900045603
CNA,17,0.5666666666666667,action_value,2.2543245648503127
CNA,17,0.5666666666666667,mmd,2.26058651721913
CNA,17,0.5666666666666667,wasserstein,2.2633008582225496
CNA,17,0.5666666666666667,distance,2.2546353250061544
CNA,17,0.5666666666666667,mean_shift,2.2679494621819014
CNA,17,0.5666666666666667,kl_source_target,2.2549106382978925
CNA,17,0.5666666666666667,oracle,2.23977627902089
CNA,17,0.5666666666666667,random_expected,2.2615251355374424
CNA,18,0.6,action_value,2.253844111676993
CNA,18,0.6,mmd,2.2605972778443335
CNA,18,0.6,wasserstein,2.2624596489528184
CNA,18,0.6,distance,2.2545400767838033
CNA,18,0.6,mean_shift,2.2624669077461714
CNA,18,0.6,kl_source_target,2.254629987841146
